raw_compound,KD_M,reference_date,compound_id,smiles,smiles_source,pKD
CF-4-45,0.00213631122061137,20200928,CF-4-45,O=C(NCC1CCN(C(OC(C)(C)C)=O)CC1)C2=CN=C(N[C@@H](C)CO)C=N2,id_with_smiles,2.670335478446641
CF-4-59,5.130013719273546e-05,20200928,CF-4-59,BrC(C=C1)=CC2=C1N=C(NCC3=CC=CN=C3)C=C2,id_with_smiles,4.289881473446306
CF-4-60,,20200928,CF-4-60,FC1=CC=C(CCNC2=NC3=C(C=C(Br)C=C3)C=C2)C=C1,id_with_smiles,
CF-4-93,0.0014855953585825496,20200928,CF-4-93,FC1=CC(Cl)=CN=C1N2C[C@H](N)CC2,id_with_smiles,2.828099466124183
CF-5-114,0.00022752913420969227,20200928,CF-5-114,CC(NC(C=C1)=CC=C1N2C3=C(CCN(C(C)=O)C3)C4=C2C=CC=C4)=O,id_with_smiles,3.6429629857479804
CF-6-11,0.00015224879347058975,20200928,CF-6-11,O=C(O)C1CN(C(C2=CC=CC=C2F)=O)C3=CC=CC=C31,id_with_smiles,3.81744614034462
CF-6-44,0.0011377891378290042,20200928,CF-6-44,O=C(O)C1CN(C(C2=CC(OC)=CC(OC)=C2)=O)C3=CC=CC=C31,id_with_smiles,2.9439382166426387
CF-6-46,0.0010685876568141254,20200928,CF-6-46,O=C(O)C1CN(C(C2=CC(Br)=CC(OC)=C2)=O)C3=CC=CC=C31,id_with_smiles,2.971189846631191
CF-6-48,0.001366157243691508,20200928,CF-6-48,O=C(O)C1CN(C(C2=CC(F)=CC=C2F)=O)C3=CC=CC=C31,id_with_smiles,2.8644993108028634
CF-6-68,0.00020035960197227896,20200928,CF-6-68,O=C(C1CN(C2=CC=CC=C21)C([C@@H]3CN(C(C)=O)CCC3)=O)O,id_with_smiles,3.6981898397366386
CF-6-74,0.0005500540248876851,20200928,CF-6-74,O=C(O)C1CN(C(CN2CCN(C(C)=O)CC2)=O)C3=CC=CC=C31,id_with_smiles,3.2595946531269453
CF-2-17,,20200928,CF-2-17,ClC1=C(N2C(C(NC(CC3=CC=CC=C3)=O)CC2)=O)C=CC=C1,id_with_smiles,
CF-2-18,0.0008350631308363303,20200928,CF-2-18,ClC1=C(N2C(C(NC(CC3=CC=CC=C3Cl)=O)CC2)=O)C=CC=C1,id_with_smiles,3.078280690579329
CF-2-80,0.0017184905623815162,20200928,CF-2-80,O=C1N(C2=C(Cl)C=CC=C2)CC(C(NC3=CC=CC=C3)=O)C1,id_with_smiles,2.7648528485816786
CF-2-81,0.0010818164536179119,20200928,CF-2-81,O=C1N(C2=C(Cl)C=CC=C2)CC(C(N3CCOCC3)=O)C1,id_with_smiles,2.965846417549967
CF-3-09,,20200928,CF-3-09,CC1=CC=C(OC)C(NC([C@@H](NC(OC(C)(C)C)=O)CC2=CC=C(O)C=C2)=O)=C1,id_with_smiles,
CF-3-25,,20200928,CF-3-25,COC1=CC=C(C)C=C1NC([C@@H]2CCN(C(OC(C)(C)C)=O)C2)=O,id_with_smiles,
